id,title,category,subcategory,kind,countries,hasRunner,version,description
4at,4AT / DOS / ICDSC / Nu-DESC / DRS-R-98,2. Диагностические шкалы,Делирий,score,США,yes,1.0.0,Альтернативные шкалы скрининга делирия.
4s-af,4S-AF characterization (ESC),4. Кардиология и сосуды,Фибрилляция предсердий,calculator,Международный (ESC 2020),yes,1.0.0,Комплексная характеристика ФП для выбора стратегии лечения.
4t-pph,"«4 T»: Tone, Trauma, Tissue, Thrombin",8. Акушерство и гинекология,ПРК,calculator,Международный,yes,1.0.0,Дифф. диагностика причин послеродового кровотечения.
4t,4T score,2. Диагностические шкалы,ВТЭ / Кровотечение,score,Международный (ASH 2018),yes,1.0.0,Оценка вероятности гепарин-индуцированной тромбоцитопении.
6mwt,6-Minute Walk Test / Incremental Shuttle Walk,22. Прочие специальности,Реабилитация,calculator,Международный (ATS/ERS 2014),yes,1.0.0,Оценка функциональной выносливости и переносимости нагрузки.
9-line,9-Line MEDEVAC / MIST / SBAR / AT-MIST,7. Травматология и военная медицина,Военная медицина,calculator,NATO / US DoD / WHO / IHI,yes,1.0.0,Стандартные форматы передачи информации при эвакуации.
aa-grad,A-a gradient,15. Лабораторная медицина,Газы крови,calculator,Международный,yes,1.0.0,Оценка эффективности газообмена в лёгких.
aa-gradient,A-a gradient / SF / OI,1. Клинические калькуляторы,Электролиты / КЩС,calculator,,yes,1.0.0,Оценка газообмена и тяжести дыхательной недостаточности.
aaa,AAA - аневризма брюшной аорты,4. Кардиология и сосуды,Сосуды / Аорта,calculator,Международный (SVS · ESVS · USPSTF),yes,1.0.0,Показания к плановому оперативному лечению аневризмы.
aap-efp,AAP/EFP 2017 Staging and Grading,21. Стоматология,Периодонтология,calculator,США/ЕС (AAP/EFP 2017 World Workshop · J Periodontol/J Clin Periodontol 2018),yes,1.0.0,Современная классификация тяжести и прогрессии пародонтита.
aasld,AASLD / EASL / РНОГ protocols,11. Инфекционные болезни,Гепатиты,calculator,"США / Международный (AASLD, EASL аналог)",yes,1.0.0,Международные и российские рекомендации по гепатитам.
aast,AAST OIS,7. Травматология и военная медицина,Абдоминальная травма,calculator,"Международный (AAST, США)",yes,1.0.0,Классификация степени повреждения внутренних органов.
